Wikipedia Movie ID	Wikidata movie ID	Rotten Tomatoes score	Number of reviews
975900	Q261700	22.0	108.0
3196793	Q16250726		
28463795	Q4978832		
9363483	Q7995657	50.0	8.0
261236	Q869644		
13696889	Q3067285		
18998739			
10408933	Q1619977	80.0	5.0
9997961	Q5165212		
2345652	Q194106	71.0	7.0
175026	Q1579725		
24229100	Q840296		
6631279	Q6649585		
171005	Q114115	100.0	40.0
18296435	Q12808250		
11250635	Q7750838		
30388930	Q4560603		
77856	Q209170	96.0	55.0
32456683	Q1212293		
33420460	Q6383159		
175024	Q729807		
612710	Q976048	19.0	16.0
21926710	Q7995659	45.0	11.0
33427105	Q1452676		
31983669	Q1967124		
17715326	Q3183844		
22087420	Q3742607		
20604092			
21344842	Q6841195		
156558	Q607122	71.0	93.0
11448183	Q4914022		
9633533	Q7914357		
31323091	Q1337262		
27611999	Q7574544	43.0	7.0
31025505			
29528534	Q4769893		
1364293	Q2318140		
29772142	Q6368890		
26067101	Q2943754	67.0	9.0
26623942	Q6378965		
9912533	Q5191841		
9548445	Q4786598		
32445576	Q7931407		
26878691	Q7719877		
10275424	Q3569754		
2314463	Q5357294		
2487170	Q7845571		
25960460	Q1156971	86.0	7.0
13711159	Q7764700		
261237	Q647665	85.0	26.0
21153158	Q4880883		
14631844	Q1516837		
14301436	Q3747105		
12008535	Q2382723	73.0	113.0
4951456	Q535500	0.0	6.0
36009421			
13281430	Q6946116		
11633165	Q6785706		
21449578	Q1768770		
23799443	Q6541309		
5708633	Q3521141		
12053509	Q1030728	44.0	9.0
7252019	Q5023006		
3645672	Q531827		
29198000	Q1061778		
1369204	Q1710735	80.0	5.0
21235485	Q1459137		
19494009	Q6421028		
31323885	Q7557209		
12371532	Q3206537		
24399617	Q2319947		
32104837	Q16254893		
20334086	Q7933486		
5915856	Q6098323		
31137877	Q4931222		
2647998	Q2534503		
21958879	Q4009692		
1254263	Q1520388	85.0	26.0
20944359	Q4686580		
11353896	Q3423450		
24761154	Q6945505		
27374355	Q3233314		
31304361	Q7768095		
273431	Q1987819		
16686643	Q7093204		
7364373	Q587925		
31026308	Q7559319		
11996174	Q4661283		
7028314	Q1218719		
31156641	Q6965941		
32224700	Q4659271		
19929835			
25413122	Q5309291		
5664529	Q3561683		
26776017	Q7333669		
29832307			
24039457	Q6494619		
31322464	Q8059264		
5894429	Q1102541	32.0	19.0
12788657	Q659896	86.0	14.0
31153831	Q3575216		
27556929	Q12112900		
4300418	Q2411930		
29766415	Q127177		
30246289	Q226193		
18109665	Q7757158		
9390791	Q5740455	71.0	7.0
