,Wikipedia Movie ID,ethnicity_diversity
0,975900,
1,3196793,
2,28463795,
3,9363483,
4,261236,
5,13696889,0.3586841549093481
6,18998739,
7,10408933,
8,9997961,
9,2345652,
10,175026,
11,24229100,
12,6631279,
13,171005,
14,18296435,
15,11250635,
16,30388930,
17,77856,
18,32456683,
19,33420460,0.19201748824268142
20,175024,
21,612710,
22,21926710,
23,33427105,
24,31983669,
25,17715326,
26,22087420,
27,20604092,
28,21344842,
29,156558,
30,11448183,0.05858098579280088
31,9633533,0.0808032080150231
32,31323091,
33,27611999,
34,31025505,
35,29528534,0.07286670007851516
36,1364293,
37,29772142,0.19191431912613421
38,26067101,
39,26623942,
40,9912533,
41,9548445,
42,32445576,
43,26878691,
44,10275424,
45,2314463,
46,2487170,
47,25960460,
48,13711159,0.3586841549093481
49,261237,
50,21153158,
51,14631844,
52,14301436,
53,12008535,
54,4951456,
55,36009421,
56,13281430,
57,11633165,
58,21449578,
59,23799443,
60,5708633,0.20301736507803367
61,12053509,
62,7252019,
63,3645672,
64,29198000,0.13635876357057866
65,1369204,
66,21235485,0.19201748824268142
67,19494009,
68,31323885,
69,12371532,
70,24399617,
71,32104837,
72,20334086,
73,5915856,
74,31137877,
75,2647998,
76,21958879,
77,1254263,
78,20944359,
79,11353896,0.13635876357057866
80,24761154,
81,27374355,
82,31304361,
83,273431,
84,16686643,
85,7364373,
86,31026308,
87,11996174,
88,7028314,
89,31156641,
90,32224700,
91,19929835,
92,25413122,
93,5664529,
94,26776017,
95,29832307,
96,24039457,
97,31322464,
98,5894429,
99,12788657,
100,31153831,
101,27556929,0.2262980516921205
102,4300418,0.10858098579280089
103,29766415,
104,30246289,
105,18109665,
106,9390791,
107,29375144,
108,24196090,
109,28028248,
110,8669450,
111,10419077,0.13635876357057866
112,2154704,
113,28301986,
114,17780234,
115,33059372,
116,3740032,
117,2659373,
118,17683792,
119,3873713,
120,28415406,
121,9380065,
122,164387,
123,28937087,0.19277027822463708
124,24282217,
125,7443859,
126,7767613,
127,24863901,
128,21373150,
129,10792038,0.3585809857928009
130,30002176,
131,164388,0.275491797072686
132,22985953,
133,31723287,
134,7707787,
135,1630107,
136,7572051,0.3565079394901452
137,11717027,0.36075222437588467
138,22066590,
139,10628777,
140,3550323,
141,1072373,0.07286670007851516
142,1765938,
143,7460227,
144,19095614,0.35943694489130373
145,21878654,
146,18902861,
147,26615659,0.07286670007851516
148,3222645,
149,20204625,
150,13613357,
151,1305819,
152,25790807,
153,12438366,
154,32229606,
155,33495214,
156,6752142,
157,12142896,
158,35847891,
159,14494806,
160,32972053,
161,13021375,0.3586841549093481
162,33514209,
163,9169526,
164,1031231,
165,9912537,
166,27002888,
167,13602366,
168,6342767,
169,18524941,
170,18066159,
171,19031505,
172,23666949,
173,180917,
174,6305925,
175,196176,
176,34454683,
177,9944484,
178,26600932,
179,33872851,
180,34702021,
181,3513305,
182,2509881,
183,19569910,
184,12832450,
185,13091003,
186,4040882,
187,28742538,
188,12409066,
189,30437887,
190,26137128,
191,23445121,
192,15739559,
193,32839744,
194,34470083,
195,30658112,
196,16304395,
197,748616,
198,36151270,0.217265140702149
199,33956317,
200,30693170,
201,31505444,
202,336846,
203,27463222,
204,22256486,
205,3179118,
206,3249964,
207,21906878,
208,142911,
209,15007384,
210,31751930,
211,23968563,
212,11692389,
213,31256008,
214,2316181,
215,6330031,
216,8366514,
217,3829646,
218,29146560,
219,3310726,
220,20119316,
221,27874961,
222,3033993,0.11812109980065184
